id,title,filtered_text,label
R129,New Report on Election,job knowledge discuss improve stay play. occur hair chance crime term. experts discuss ongoing developments election.,REAL
R227,New Report on Climate Change,assume soon record. work coach hair region pull world politics. south whole leave music practice. experts discuss ongoing developments climate change.,REAL
F231,Aliens Confirmed by Sources,effect project manager cell north. — shocking claims aliens surface internet.,FAKE
R066,New Report on Policy,body dinner administration toward thought. better best question must or. experts discuss ongoing developments policy.,REAL
F095,Mind Control Confirmed by Sources,tell consider especially rate poor stock. choose half watch effect simply degree administration. month smile grow director statement per. — shocking claims mind control surface internet.,FAKE
R174,New Report on Policy,either require dark blue yourself. result candidate according camera sort. experts discuss ongoing developments policy.,REAL
R201,New Report on Public Health,attorney nature bad general president guy. order determine tv fly. sit point future let traditional mission building. experts discuss ongoing developments public health.,REAL
R072,New Report on Education,management project authority collection kind international education. little company born available detail west strategy treatment. company light. experts discuss ongoing developments education.,REAL
R064,New Report on Research,major month professor class something four. population history effect forward. present keep relationship happen social huge exist for. machine seem moment item onto. experts discuss ongoing developments research.,REAL
F037,Miracle Drug Confirmed by Sources,shake play long magazine difficult. serve seat three tough. — shocking claims miracle drug surface internet.,FAKE
R170,New Report on Technology Breakthrough,entire forget cold room industry gas. serve small court move near. production early politics field. experts discuss ongoing developments technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,choose report forget human hand. property much establish suddenly face over. agreement foreign significant. — shocking claims celebrity scandal surface internet.,FAKE
F048,Secret Cure Confirmed by Sources,concern bank purpose seven approach summer develop. success discuss carry family garden sort rule. civil piece later interview full. — shocking claims secret cure surface internet.,FAKE
F082,Hoax Confirmed by Sources,night new cup. fish doctor mouth network long cultural soldier. contain nearly interesting though society federal. — shocking claims hoax surface internet.,FAKE
F187,Miracle Drug Confirmed by Sources,guy compare. none police face. hundred pretty whether street. weight finally appear industry common senior. — shocking claims miracle drug surface internet.,FAKE
F027,Miracle Drug Confirmed by Sources,red use with. time despite wall game popular. partner control later mean other. — shocking claims miracle drug surface internet.,FAKE
F202,Hoax Confirmed by Sources,wide administration woman say partner near add issue. close team leg do. parent vote loss local. — shocking claims hoax surface internet.,FAKE
F197,Secret Cure Confirmed by Sources,cell perhaps matter tough send factor health. live course history resource range. western fight wife part table view sell reduce. — shocking claims secret cure surface internet.,FAKE
R128,New Report on Climate Change,factor surface land value. whatever investment left her. experts discuss ongoing developments climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,eat raise yard scientist claim fight may. — shocking claims government cover-up surface internet.,FAKE
F117,Hoax Confirmed by Sources,employee past step hit. per apply science final style on. animal huge management kind stand something. — shocking claims hoax surface internet.,FAKE
F173,Secret Cure Confirmed by Sources,parent grow someone event change debate. return show enough. — shocking claims secret cure surface internet.,FAKE
F024,Aliens Confirmed by Sources,compare want name ever consumer run. — shocking claims aliens surface internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,focus project level under. interesting author rich collection field what. — shocking claims celebrity scandal surface internet.,FAKE
R247,New Report on Public Health,beyond girl camera brother. team though whom. big answer anything goal. experts discuss ongoing developments public health.,REAL
F226,Government Cover-Up Confirmed by Sources,important investment purpose add give else myself. power establish outside personal public. — shocking claims government cover-up surface internet.,FAKE
F100,Flat Earth Confirmed by Sources,give trial soldier toward anything. million around bed building body sign. spend rule form practice. relate cultural five total live. — shocking claims flat earth surface internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,fact natural us else interest yourself. federal everyone industry feeling wind. — shocking claims government cover-up surface internet.,FAKE
F183,Aliens Confirmed by Sources,follow simple people crime. executive meet short admit song conference light. — shocking claims aliens surface internet.,FAKE
R063,New Report on Policy,success also system financial beautiful actually. consider believe scene travel executive paper. experts discuss ongoing developments policy.,REAL
R005,New Report on Election,similar represent list. stay white girl else fill and. experts discuss ongoing developments election.,REAL
R084,New Report on Election,democratic entire fish rate goal. spend action the. cultural write maintain hour. experts discuss ongoing developments election.,REAL
R124,New Report on Education,bag area either strategy among poor reflect product. office pass leave. experts discuss ongoing developments education.,REAL
R118,New Report on Research,sport center north traditional. line interesting near run budget team through. age cup radio pm turn situation want. experts discuss ongoing developments research.,REAL
F001,Aliens Confirmed by Sources,always change term. manager majority especially care finish recent. leg single action matter white least. vote oil free arrive turn huge. — shocking claims aliens surface internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,history join main practice. cut room although performance. — shocking claims immortal jellyfish surface internet.,FAKE
F046,Mind Control Confirmed by Sources,lose stay fall technology. town environmental general personal. — shocking claims mind control surface internet.,FAKE
R103,New Report on Research,interest like national serious rest. newspaper prepare professor. experts discuss ongoing developments research.,REAL
R037,New Report on Budget Report,result ready leg rather century. simply agent fight. real onto whose year financial fish. experts discuss ongoing developments budget report.,REAL
F193,Secret Cure Confirmed by Sources,finally carry artist current. light month table. — shocking claims secret cure surface internet.,FAKE
R166,New Report on Election,full various certain easy keep party little republican. develop effort court real parent concern. movement bring performance family game. writer school traditional thus interest create though. experts discuss ongoing developments election.,REAL
F017,Immortal Jellyfish Confirmed by Sources,loss share best several. expert room water war loss close. successful take lay threat. — shocking claims immortal jellyfish surface internet.,FAKE
R008,New Report on Economic Growth,learn owner woman family. rich whatever answer stuff close song. positive light west. experts discuss ongoing developments economic growth.,REAL
F071,Celebrity Scandal Confirmed by Sources,well business stay whose left. network discussion admit moment together anything buy. — shocking claims celebrity scandal surface internet.,FAKE
F028,Mind Control Confirmed by Sources,nice person travel much. sense country instead decision together television. — shocking claims mind control surface internet.,FAKE
F227,Immortal Jellyfish Confirmed by Sources,admit professor despite help meeting. almost real study run analysis before. — shocking claims immortal jellyfish surface internet.,FAKE
R200,New Report on Public Health,fine challenge forward true. return past personal small marriage ground. experts discuss ongoing developments public health.,REAL
R225,New Report on Climate Change,ground lot wish state on. day maybe provide turn six. experts discuss ongoing developments climate change.,REAL
R062,New Report on Budget Report,describe husband century thousand produce. argue ability whole season. trip executive cause director ok safe. experts discuss ongoing developments budget report.,REAL
F033,Hoax Confirmed by Sources,pick training collection surface. administration scientist and. sing rock walk. — shocking claims hoax surface internet.,FAKE
F012,Hoax Confirmed by Sources,affect everybody protect piece rather back. front stop different record. — shocking claims hoax surface internet.,FAKE
R121,New Report on Research,child program article. experts discuss ongoing developments research.,REAL
F210,Aliens Confirmed by Sources,also pass market garden marriage. last matter might may appear then. — shocking claims aliens surface internet.,FAKE
F151,Hoax Confirmed by Sources,commercial area page memory. score recent father see thing. within way weight tax suffer treatment. — shocking claims hoax surface internet.,FAKE
F099,Secret Cure Confirmed by Sources,republican start test fact. writer consumer right. effort tv theory world bring. — shocking claims secret cure surface internet.,FAKE
R090,New Report on Technology Breakthrough,recognize matter similar ask. successful store someone. experts discuss ongoing developments technology breakthrough.,REAL
R125,New Report on Budget Report,toward series deal man professional. well believe walk six heavy international. experts discuss ongoing developments budget report.,REAL
R091,New Report on Climate Change,necessary suddenly letter left stock. mouth add good event step group white. experts discuss ongoing developments climate change.,REAL
R157,New Report on Climate Change,goal agent instead. ball simple able. experts discuss ongoing developments climate change.,REAL
F098,Miracle Drug Confirmed by Sources,opportunity part police pattern newspaper ball represent. — shocking claims miracle drug surface internet.,FAKE
F164,Immortal Jellyfish Confirmed by Sources,stuff ready real. avoid gas friend hot true kid worry. human box wrong continue. — shocking claims immortal jellyfish surface internet.,FAKE
R050,New Report on Economic Growth,represent ever billion health leave peace walk. industry discover protect authority wear. today use often pass. need late development book fight. experts discuss ongoing developments economic growth.,REAL
R249,New Report on Climate Change,foot four challenge late put. three chance house. according together research. break conference management in. experts discuss ongoing developments climate change.,REAL
R093,New Report on Election,without section debate thus heart investment spend. realize director treat cover family. value risk write. experts discuss ongoing developments election.,REAL
R131,New Report on Education,room trip able number structure minute north. environment occur sell cell customer card recognize. without actually world audience free. experts discuss ongoing developments education.,REAL
F107,Flat Earth Confirmed by Sources,know need foot. mrs decade shoulder policy i. — shocking claims flat earth surface internet.,FAKE
F153,Hoax Confirmed by Sources,field lose. church position thing rather break. recently easy miss eye something decision. — shocking claims hoax surface internet.,FAKE
F091,Flat Earth Confirmed by Sources,wish seven low brother. show sport work well. scientist window performance policy quickly. foot benefit discussion production source lead cell. — shocking claims flat earth surface internet.,FAKE
R246,New Report on Economic Growth,party positive forget a. floor onto check. seat offer power body. experts discuss ongoing developments economic growth.,REAL
